"","TimeStep","PreyAbundance","PredAbundance"
"1",1,100,10
"2",2,110,10.5
"3",3,120.45,11.13
"4",4,131.133915,11.9141085
"5",5,141.737261086602,12.8807467663398
"6",6,151.827895629812,14.0623911954339
"7",7,160.842842128515,15.4943348983881
"8",8,168.08988193474,17.2117710154165
"9",9,172.776612742997,19.2443070225148
"10",10,174.082273472232,21.6070578533254
"11",11,171.284670625149,24.2881107148121
"12",12,163.939794311242,27.2338862229653
"13",13,152.080576116603,30.3369096175057
"14",14,136.360144417648,33.433718828858
"15",15,118.041906021956,36.3210596153372
"16",16,98.7762161690326,38.7924137403018
"17",17,80.2137809495331,40.6845608986173
"18",18,63.6219125799434,41.9137953096361
"19",19,49.679936885099,42.4847413652376
"20",20,38.5095315660712,42.4711435665805
"21",21,29.8559994410417,41.9831302320758
"22",22,23.2927162018297,41.1374220332141
"23",23,18.3692364752501,40.0387532282479
"24",24,14.6882705080614,38.7722968930594
"25",25,11.9309447598325,37.4031800333906
"26",26,9.85458096359443,35.9792763065415
"27",27,8.27989024256984,34.5348731825888
"28",28,7.07641869615478,33.0940744829522
"29",29,6.14982716135471,31.6735582862077
"30",30,5.43192350317294,30.2846672809426
"31",31,4.87326824391628,28.9349379128846
"32",32,4.43784475199404,27.6291987313109
"33",33,4.09927275647736,26.3703528893369
"34",34,3.8381346159933,25.159934514048
"35",35,3.64008938324704,23.9985050039401
"36",36,3.49454022711001,22.8859364570218
"37",37,3.39369001669056,21.8216154597548
"38",38,3.33187003469037,20.8045904853009
"39",39,3.30506212540865,19.8336791526578
"40",40,3.31055913274082,18.9075467367999
"41",41,3.34672544401662,18.0247639514871
"42",42,3.41283117143158,17.1838496900516
"43",43,3.50894162704387,16.3833027834164
"44",44,3.63584942120071,15.6216256973708
"45",45,3.79504051794085,14.8973422912523
"46",46,3.98868844547966,14.2090111942946
"47",47,4.21967294685185,13.5552359533522
"48",48,4.49162091181668,12.9346728181252
"49",49,4.80896862500604,12.3460368241363
"50",50,5.17704531270284,11.7881066866599
"51",51,5.60217875056527,11.2597289147948
"52",52,6.09182436004243,10.7598214831186
"53",53,6.65471980584522,10.2873773515833
"54",54,7.30106762889642,9.84146809781587
"55",55,8.0427489131779,9.42124791707486
"56",56,8.89357138135515,9.02595825266695
"57",57,9.86955561757393,8.65493334403883
"58",58,10.9892632810348,8.30760702284227
"59",59,12.2741711291479,7.98352115250955
"60",60,13.7490943065868,7.68233619972314
"61",61,15.4426615188552,7.40384455464189
"62",62,17.3878431686706,7.14798739230535
"63",63,19.6225309649144,6.91487610643912
"64",64,22.1901634527258,6.70481967163431
"65",65,25.1403856989248,6.51835973248721
"66",66,28.529722060719,6.35631582366192
"67",67,32.4222272350706,6.21984395625805
"68",68,36.8900607409199,6.11051295256163
"69",69,42.0139009493221,6.03040449891172
"70",70,47.8830729661703,5.98224509126776
"71",71,54.5952047773375,5.96958111491106
"72",72,62.25514069877,5.997012562569
"73",73,70.9727202299738,6.07050679529558
"74",74,80.8588604716019,6.19782183596747
"75",75,92.0191444552988,6.38907955523143
"76",76,104.543797001066,6.6575432119991
"77",77,118.492507940469,7.0206708974802
